ID_NODO    PADRE:   RELACION    ID_HIJOS 
1    RAIZ        0          2 3
2          1         0         4 5 6
3          1         0         7 8
4          2         0         9 10 11
5          2         0         12 13 14
6          2         0         15
7          3         0         16 17 18
8          3         0         19
9          4         0         20
10          4         0         21
11          4         0         22
12          5         0         23 24 25
13          5         0         26 27
14          5         0         28 29
15          6         0         30 31
16          7         0         32
17          7         0         33
18          7         0         34
19          8         0         35 36
20          9         0         37 38
21          10         0         39
22          11         0         40
23          12         0         41 42
24          12         0         43 44 45
25         12        0      SIN HIJOS
26          13         0         46
27          13         0         47
28          14         0         48 49
29         14        0      SIN HIJOS
30         15        0      SIN HIJOS
31         15        0      SIN HIJOS
32         16        0      SIN HIJOS
33          17         0         50
34          18         0         51 52
35         19        0      SIN HIJOS
36          19         0         53 54
37         20        0      SIN HIJOS
38          20         0         55 56
39          21         0         57 58
40          22         0         59 60
41          23         0         61
42          23         0         62 63
43          24         0         64 65 66
44          24         0         67 68
45         24        0      SIN HIJOS
46          26         0         69 70
47          27         0         71
48          28         0         72 73
49          28         0         74 75
50          33         0         76
51          34         0         77 78
52          34         0         79
53          36         0         80 81
54          36         0         82 83
55          38         0         84
56          38         0         85
57          39         0         86
58          39         0         87
59         40        0      SIN HIJOS
60          40         0         88
61          41         0         89
62          42         0         90
63          42         0         91 92
64          43         0         93
65          43         0         94
66         43        0      SIN HIJOS
67          44         0         95
68          44         0         96
69          46         0         97
70         46        0      SIN HIJOS
71          47         0         98
72          48         0         99
73          48         0         100
74         49        0      SIN HIJOS
75         49        0      SIN HIJOS
76          50         0         101
77          51         0         102
78          51         0         103
79          52         0         104 105
80          53         0         106
81          53         0         107
82          54         0         108 109
83         54        0      SIN HIJOS
84          55         0         110 111
85          56         0         112
86          57         0         113
87         58        0      SIN HIJOS
88         60        0      SIN HIJOS
89          61         0         114
90         62        0      SIN HIJOS
91          63         0         115
92         63        0      SIN HIJOS
93         64        0      SIN HIJOS
94          65         0         116
95          67         0         117 118
96          68         0         119 120
97          69         0         121
98          71         0         122
99          72         0         123
100          73         0         124 125
101          76         0         126
102          77         0         127 128
103          78         0         129 130
104          79         0         131
105          79         0         132
106         80        0      SIN HIJOS
107          81         0         133
108          82         0         134
109          82         0         135 136
110          84         0         137
111          84         0         138 139
112         85        0      SIN HIJOS
113         86        0      SIN HIJOS
114         89        0      SIN HIJOS
115          91         0         140
116          94         0         141 142
117         95        0      SIN HIJOS
118         95        0      SIN HIJOS
119          96         0         143
120         96        0      SIN HIJOS
121          97         0         144 145
122         98        0      SIN HIJOS
123         99        0      SIN HIJOS
124          100         0         146 147
125         100        0      SIN HIJOS
126          101         0         148
127          102         0         149
128          102         0         150 151
129          103         0         152 153
130         103        0      SIN HIJOS
131         104        0      SIN HIJOS
132          105         0         154
133         107        0      SIN HIJOS
134          108         0         155 156
135          109         0         157 158
136         109        0      SIN HIJOS
137          110         0         159
138         111        0      SIN HIJOS
139          111         0         160
140          115         0         161
141          116         0         162
142          116         0         163 164
143          119         0         165
144          121         0         166 167
145          121         0         168 169
146         124        0      SIN HIJOS
147         124        0      SIN HIJOS
148          126         0         170 171
149          127         0         172 173
150          128         0         174 175
151          128         0         176
152         129        0      SIN HIJOS
153         129        0      SIN HIJOS
154         132        0      SIN HIJOS
155          134         0         177
156          134         0         178
157         135        0      SIN HIJOS
158          135         0         179 180
159          137         0         181 182
160         139        0      SIN HIJOS
161         140        0      SIN HIJOS
162          141         0         183
163          142         0         184
164          142         0         185
165          143         0         186 187
166          144         0         188
167          144         0         189
168          145         0         190
169         145        0      SIN HIJOS
170         148        0      SIN HIJOS
171         148        0      SIN HIJOS
172         149        0      SIN HIJOS
173         149        0      SIN HIJOS
174         150        0      SIN HIJOS
175         150        0      SIN HIJOS
176          151         0         191 192
177         155        0      SIN HIJOS
178          156         0         193
179          158         0         194 195
180          158         0         196 197
181          159         0         198
182         159        0      SIN HIJOS
183          162         0         199 200
184         163        0      SIN HIJOS
185          164         0         201 202
186         165        0      SIN HIJOS
187          165         0         203 204
188          166         0         205
189         167        0      SIN HIJOS
190          168         0         206
191          176         0         207
192          176         0         208 209
193          178         0         210 211
194          179         0         212
195         179        0      SIN HIJOS
196          180         0         213 214
197          180         0         215 216
198          181         0         217
199          183         0         218 219
200          183         0         220 221
201         185        0      SIN HIJOS
202         185        0      SIN HIJOS
203          187         0         222 223
204          187         0         224
205          188         0         225
206          190         0         226
207         191        0      SIN HIJOS
208          192         0         227
209          192         0         228 229
210         193        0      SIN HIJOS
211          193         0         230
212         194        0      SIN HIJOS
213          196         0         231 232
214         196        0      SIN HIJOS
215         197        0      SIN HIJOS
216         197        0      SIN HIJOS
217          198         0         233
218          199         0         234 235
219          199         0         236 237
220          200         0         238
221          200         0         239
222          203         0         240
223          203         0         241 242
224          204         0         243 244
225         205        0      SIN HIJOS
226          206         0         245
227         208        0      SIN HIJOS
228          209         0         246
229          209         0         247
230          211         0         248 249
231         213        0      SIN HIJOS
232          213         0         250
233         217        0      SIN HIJOS
234          218         0         251
235          218         0         252
236          219         0         253 254
237          219         0         255
238          220         0         256
239          221         0         257 258
240         222        0      SIN HIJOS
241         223        0      SIN HIJOS
242          223         0         259
243          224         0         260
244          224         0         261
245         226        0      SIN HIJOS
246         228        0      SIN HIJOS
247          229         0         262
248          230         0         263 264
249          230         0         265
250         232        0      SIN HIJOS
251          234         0         266
252          235         0         267
253         236        0      SIN HIJOS
254          236         0         268
255          237         0         269
256          238         0         270 271
257          239         0         272 273
258          239         0         274
259          242         0         275 276
260          243         0         277
261          244         0         278 279
262         247        0      SIN HIJOS
263          248         0         280
264          248         0         281
265          249         0         282 283
266         251        0      SIN HIJOS
267         252        0      SIN HIJOS
268          254         0         284 285
269          255         0         286
270          256         0         287
271         256        0      SIN HIJOS
272          257         0         288 289
273          257         0         290 291
274         258        0      SIN HIJOS
275          259         0         292 293
276          259         0         294 295
277         260        0      SIN HIJOS
278         261        0      SIN HIJOS
279          261         0         296 297
280          263         0         298
281          264         0         299
282          265         0         300
283         265        0      SIN HIJOS
284          268         0         301 302
285          268         0         303 304
286          269         0         305 306
287         270        0      SIN HIJOS
288          272         0         307
289          272         0         308 309
290          273         0         310
291          273         0         311 312
292          275         0         313 314
293          275         0         315
294          276         0         316
295         276        0      SIN HIJOS
296          279         0         317 318
297          279         0         319 320
298          280         0         321 322
299         281        0      SIN HIJOS
300          282         0         323 324
301         284        0      SIN HIJOS
302         284        0      SIN HIJOS
303          285         0         325 326
304         285        0      SIN HIJOS
305          286         0         327
306         286        0      SIN HIJOS
307         288        0      SIN HIJOS
308          289         0         328 329
309         289        0      SIN HIJOS
310         290        0      SIN HIJOS
311          291         0         330
312          291         0         331
313          292         0         332
314          292         0         333
315          293         0         334
316          294         0         335
317          296         0         336 337
318          296         0         338
319          297         0         339 340
320         297        0      SIN HIJOS
321         298        0      SIN HIJOS
322         298        0      SIN HIJOS
323          300         0         341 342
324          300         0         343
325          303         0         344
326         303        0      SIN HIJOS
327          305         0         345
328         308        0      SIN HIJOS
329          308         0         346 347
330          311         0         348
331          312         0         349
332         313        0      SIN HIJOS
333          314         0         350
334          315         0         351
335          316         0         352 353
336          317         0         354 355
337          317         0         356 357
338         318        0      SIN HIJOS
339          319         0         358 359
340          319         0         360
341         323        0      SIN HIJOS
342         323        0      SIN HIJOS
343          324         0         361 362
344          325         0         363
345         327        0      SIN HIJOS
346         329        0      SIN HIJOS
347          329         0         364
348          330         0         365 366
349         331        0      SIN HIJOS
350          333         0         367
351          334         0         368 369
352          335         0         370 371
353         335        0      SIN HIJOS
354         336        0      SIN HIJOS
355          336         0         372
356          337         0         373
357          337         0         374 375
358          339         0         376
359         339        0      SIN HIJOS
360          340         0         377 378
361         343        0      SIN HIJOS
362          343         0         379
363          344         0         380
364          347         0         381 382
365         348        0      SIN HIJOS
366          348         0         383
367          350         0         384 385
368          351         0         386
369          351         0         387
370         352        0      SIN HIJOS
371          352         0         388 389
372          355         0         390
373          356         0         391
374         357        0      SIN HIJOS
375          357         0         392
376          358         0         393
377         360        0      SIN HIJOS
378         360        0      SIN HIJOS
379          362         0         394
380         363        0      SIN HIJOS
381         364        0      SIN HIJOS
382         364        0      SIN HIJOS
383          366         0         395 396
384          367         0         397
385         367        0      SIN HIJOS
386          368         0         398 399
387          369         0         400 401
388          371         0         402
389         371        0      SIN HIJOS
390          372         0         403
391         373        0      SIN HIJOS
392         375        0      SIN HIJOS
393          376         0         404 405
394          379         0         406
395          383         0         407
396         383        0      SIN HIJOS
397          384         0         408
398          386         0         409
399         386        0      SIN HIJOS
400          387         0         410
401          387         0         411 412
402          388         0         413 414
403          390         0         415 416
404          393         0         417 418
405         393        0      SIN HIJOS
406          394         0         419
407          395         0         420
408         397        0      SIN HIJOS
409          398         0         421 422
410          400         0         423 424
411          401         0         425 426
412          401         0         427
413          402         0         428 429
414          402         0         430 431
415          403         0         432 433
